# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Wed Feb 13 14:59:50 2013
#
#rowid	kepid	kepoi_name	koi_pdisposition	koi_disposition	koi_period	koi_time0bk	koi_depth	koi_duration	koi_ingress	koi_impact	koi_incl	koi_sma	koi_eccen	koi_longp	koi_dor	koi_ror	koi_prad	koi_teq	koi_steff	koi_slogg	koi_srad	koi_smet	koi_smass	koi_sage	koi_vet_stat
1	6867155	K00868.01	CANDIDATE	CANDIDATE	235.97424000	208.4281000	20652	8.2687		0.8320	89.95	0.628	0		173.600000	0.15150	9.30	180.0	4305.00	4.710	0.5620			13.9000	Active
2	6948054	K00869.01	CANDIDATE	CANDIDATE	7.49018800	174.9499000	1095	2.8144		0.4800	88.81	0.069	0		18.600000	0.03050	2.70	785.0	5215.00	4.520	0.8000			13.4000	Active
3	6948054	K00869.02	CANDIDATE	CANDIDATE	36.28011000	201.2655000	1529	4.9242		0.4200	89.38	0.197	0		53.000000	0.03570	3.10	465.0	5215.00	4.520	0.8000			13.4000	Active
4	6948054	K00869.03	CANDIDATE	CANDIDATE	17.46067000	137.2669000	787	2.4191		0.8400	88.24	0.121	0		33.000000	0.02980	2.60	593.0	5215.00	4.520	0.8000			13.4000	Active
5	6948054	K00869.04	CANDIDATE	CANDIDATE	3.21979200	133.0035000	453	2.1492		0.4300	87.66	0.039	0		10.600000	0.01960	1.72	1044.0	5215.00	4.520	0.8000			13.4000	Active
6	6949607	K00870.01	CANDIDATE	CONFIRMED	5.91226200	172.1849000	957	2.5058		0.7700	86.52	0.056	0		12.400000	0.03110	2.17	694.0	4663.00	4.650	0.6380			14.0000	Active
7	6949607	K00870.02	CANDIDATE	CONFIRMED	8.98570000	175.6861000	869	3.0259		0.7300	87.66	0.074	0		16.400000	0.02900	2.02	604.0	4663.00	4.650	0.6380			14.0000	Active
8	7031517	K00871.01	CANDIDATE	CANDIDATE	12.94067160	179.4221520	39055	2.3741		0.7659	88.81	0.108	0		38.590000	0.20213	19.80	752.0	5908.00	4.530	0.9000			0.4000	Active
9	11869052	K00120.01	FALSE POSITIVE	FALSE POSITIVE	20.54572500	137.9050000	1056	2.3112		1.1600	86.52	0.141	0		20.000000	0.20100	26.00	725.0	5632.00	4.220	1.2000			14.0000	Active
10	7109675	K00872.01	CANDIDATE	CONFIRMED	33.60178900	186.6760400	7360	4.3739		0.7500	88.81	0.191	0		46.100000	0.08580	7.20	466.0	5289.00	4.590	0.7600			4.5000	Active
11	7109675	K00872.02	CANDIDATE	CANDIDATE	6.76657900	138.0602000	364	2.9135		0.4910	88.24	0.066	0		15.800000	0.01779	1.48	793.0	5289.00	4.590	0.7600			4.5000	Active
12	7118364	K00873.01	CANDIDATE	CANDIDATE	4.34732600	172.2295000	462	2.2408		0.6900	86.52	0.051	0		11.200000	0.02100	1.94	1029.0	5725.00	4.560	0.8500			0.4000	Active
13	7134976	K00874.01	CANDIDATE	CANDIDATE	4.60183600	169.9783000	730	2.2357		0.6700	87.09	0.049	0		12.200000	0.02620	2.20	890.0	5122.00	4.550	0.7600			12.6000	Active
14	7134976	K00874.02	CANDIDATE	CANDIDATE	11.18714000	137.1834000	343	3.1931		0.5900	88.24	0.089	0		22.100000	0.01760	1.46	661.0	5122.00	4.550	0.7600			12.6000	Active
15	7135852	K00875.01	CANDIDATE	CANDIDATE	4.22095900	170.6218800	2261	3.0104		0.6000	86.52	0.044	0		9.200000	0.04540	2.77	691.0	4389.00	4.740	0.5600			1.2000	Active
16	7270230	K00876.01	FALSE POSITIVE	FALSE POSITIVE	6.99809450	171.8984700	18068	1.8258		0.8300	87.66	0.070	0		21.580000	0.14480	13.00	847.0	5609.00	4.580	0.8200			0.4000	Active
17	7287995	K00877.01	CANDIDATE	CANDIDATE	5.95489300	170.9563900	1408	2.5225		0.8100	85.94	0.056	0		11.700000	0.03920	2.54	646.0	4500.00	4.700	0.5940			6.8000	Active
18	7287995	K00877.02	CANDIDATE	CANDIDATE	12.03990100	181.2235000	1241	2.9369		0.8500	87.66	0.089	0		18.700000	0.03790	2.45	513.0	4500.00	4.700	0.5940			6.8000	Active
19	7287995	K00877.03	CANDIDATE	CANDIDATE	20.83798000	132.0775000	335	2.6086		0.9210	88.24	0.128	0		26.900000	0.02150	1.39	427.0	4500.00	4.700	0.5940			6.8000	Active
20	3247396	K00121.01	FALSE POSITIVE	FALSE POSITIVE	8.81113500	136.4533000	386	3.9481		0.9247	83.08	0.094	0		7.470000	0.02162	5.48	1358.0	6197.00	3.870	2.3200			2.8000	Active
21	7303253	K00878.01	CANDIDATE	CANDIDATE	23.58906000	173.8198000	1176	4.8790		0.9080	87.09	0.144	0		18.700000	0.03900	3.00	480.0	4922.00	4.600	0.7000			13.9000	Active
22	7366258	K00880.01	CANDIDATE	CANDIDATE	26.44288000	194.1314000	1766	3.9942		0.6410	89.38	0.169	0		41.470000	0.04040	4.00	581.0	5700.00	4.490	0.9000			4.9000	Active
23	7366258	K00880.02	CANDIDATE	CANDIDATE	51.53005000	174.1215000	3603	6.4115		0.0291	89.95	0.264	0		64.700000	0.05404	5.30	464.0	5700.00	4.490	0.9000			4.9000	Active
24	7366258	K00880.03	CANDIDATE	CANDIDATE	5.90220900	136.7844000	664	2.8274		0.3660	88.81	0.062	0		15.260000	0.02366	2.30	958.0	5700.00	4.490	0.9000			4.9000	Active
25	7366258	K00880.04	CANDIDATE	CANDIDATE	2.38296100	135.0785000	246	2.1860		0.1800	88.81	0.034	0		8.340000	0.01430	1.41	1294.0	5700.00	4.490	0.9000			4.9000	Active
26	7373451	K00881.01	CANDIDATE	CANDIDATE	21.02236000	207.6769000	1746	4.2590		0.7600	88.24	0.140	0		26.800000	0.04200	3.31	522.0	5207.00	4.640	0.7220			0.7000	Active
27	7373451	K00881.02	CANDIDATE	CANDIDATE	226.88970000	207.3589000	2745	8.2367		0.8500	89.38	0.682	0		131.000000	0.05600	4.41	236.0	5207.00	4.640	0.7220			0.7000	Active
28	7377033	K00882.01	CANDIDATE	CANDIDATE	1.95681020	170.6938800	25313	2.1714		0.9250	80.21	0.029	0		5.390000	0.20300	18.00	1238.0	5369.00	4.570	0.7900			5.4000	Active
29	7380537	K00883.01	CANDIDATE	CANDIDATE	2.68889807	170.1014350	31464	2.0921		0.0280	89.95	0.034	0		11.380000	0.15713	11.12	936.0	4859.00	4.680	0.6480			0.9000	Active
30	7434875	K00884.01	CANDIDATE	CANDIDATE	9.43945100	177.1851800	3076	2.9311		0.4900	88.81	0.080	0		23.000000	0.05110	3.80	643.0	5010.00	4.660	0.6800			0.8000	Active
31	8349582	K00122.01	CANDIDATE	CANDIDATE	11.52306300	131.9686600	510	4.0638		0.8330	86.52	0.102	0		12.900000	0.02342	2.78	823.0	5714.00	4.390	1.0900			4.6000	Active
32	7434875	K00884.02	CANDIDATE	CANDIDATE	20.47653600	178.6761700	2853	3.1781		0.7100	88.81	0.134	0		38.000000	0.05240	3.90	497.0	5010.00	4.660	0.6800			0.8000	Active
33	7434875	K00884.03	CANDIDATE	CANDIDATE	3.33620500	135.3087000	466	2.0917		0.4000	88.24	0.040	0		11.500000	0.01960	1.45	910.0	5010.00	4.660	0.6800			0.8000	Active
34	7455287	K00886.01	CANDIDATE	CONFIRMED	8.01094400	170.2057000	1045	3.4129		0.9480	83.08	0.063	0		7.660000	0.03840	2.09	478.0	3855.00	4.750	0.4980			13.8000	Active
35	7455287	K00886.02	CANDIDATE	CONFIRMED	12.07172000	143.4484000	448	4.9738		0.8680	84.80	0.083	0		10.100000	0.02250	1.23	417.0	3855.00	4.750	0.4980			13.8000	Active
36	7455287	K00886.03	CANDIDATE	CANDIDATE	20.99540000	152.3259000	617	3.8411		0.9710	85.94	0.119	0		14.600000	0.03180	1.73	348.0	3855.00	4.750	0.4980			13.8000	Active
37	7458762	K00887.01	CANDIDATE	CANDIDATE	7.41113800	175.3459000	642	2.5934		0.7700	87.09	0.074	0		14.700000	0.02560	2.50	890.0	5803.00	4.520	0.8900			1.9000	Active
38	7552344	K00888.01	FALSE POSITIVE	FALSE POSITIVE	1.00074273	169.9751200	1639	1.1189		0.9600	70.47	0.019	0		2.910000	0.05700	6.20	1769.0	5531.00	4.370	1.0000			14.0000	Active
39	757450	K00889.01	CANDIDATE	CANDIDATE	8.88491760	169.9911100	15827	2.0809		0.0200	89.95	0.077	0		36.300000	0.11180	9.40	721.0	5152.00	4.540	0.7700			12.9000	Active
40	7585481	K00890.01	CANDIDATE	CANDIDATE	8.09888140	176.6233900	6829	4.2109		0.0100	89.95	0.081	0		15.800000	0.07533	8.20	957.0	6171.00	4.470	1.0000			0.3000	Active
41	7663691	K00891.01	CANDIDATE	CANDIDATE	10.00656300	176.9659000	908	5.1152		0.7690	85.94	0.092	0		10.300000	0.03018	3.10	854.0	6040.00	4.510	0.9500			0.3000	Active
42	5812701	K00012.01	CANDIDATE	CANDIDATE	17.85514900	146.5969200	9155	7.4066		0.0300	89.95	0.144	0		20.040000	0.08805	13.40	912.0	6635.00	4.250	1.4000			2.1200	Active
43	5094751	K00123.01	CANDIDATE	CANDIDATE	6.48167400	122.9737000	315	3.6334		0.5630	87.09	0.069	0		11.600000	0.01686	2.64	1181.0	5871.00	4.150	1.4300			7.2900	Active
44	7678434	K00892.01	CANDIDATE	CANDIDATE	10.37172100	172.6163000	1267	2.9535		0.2000	89.38	0.086	0		27.000000	0.03180	2.60	668.0	5166.00	4.600	0.7400			6.2000	Active
45	7678434	K00892.02	CANDIDATE	CANDIDATE	3.97000600	137.7496000	255	1.3638		0.7900	87.09	0.045	0		14.300000	0.01620	1.31	923.0	5166.00	4.600	0.7400			6.2000	Active
46	7685981	K00893.01	CANDIDATE	CANDIDATE	4.40846800	172.1792000	557	4.6495		0.0400	89.95	0.053	0		7.400000	0.02141	2.30	1145.0	6018.00	4.460	0.9900			2.4000	Active
47	11446443	K00001.01	CANDIDATE	CONFIRMED	2.47061317	122.7625662	14284	1.7246		0.8222	84.22	0.036	0		8.445000	0.12437	14.40	1394.0	5814.00	4.380	1.0600			6.5000	Active
